author,title,passage_id,Coarse Label,Fine Label
A. A. Milne,The Red House Mystery,618,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,685,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,833,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,959,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,1019,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,1308,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,2150,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,2228,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,2935,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,3347,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,3359,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,4491,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,4803,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,5949,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,7259,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,7756,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,8921,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,10000,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,10158,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,10386,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,10454,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,10854,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,11919,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,12872,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,14064,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,14328,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,14374,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,14468,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,14900,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The Red House Mystery,15593,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,The house at Pooh Corner,3465,Key Stage 2-3,Key Stage 3 (KS3)
A. A. Milne,The house at Pooh Corner,12074,Key Stage 2-3,Key Stage 3 (KS3)
A. A. Milne,Winnie-the-Pooh,480,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,1134,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,1141,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,1367,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,1610,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,1889,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,2225,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,2238,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,4306,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,4465,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,6663,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,7261,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,10742,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,11600,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,12514,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,13560,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,14462,Key Stage 2-3,Key Stage 2 (KS2)
A. A. Milne,Winnie-the-Pooh,15132,Key Stage 2-3,Key Stage 2 (KS2)
Aesop,The Fables of Aesop,67,Key Stage 4-5,Key Stage 4 (KS4)
Aesop,The Fables of Aesop,6476,Key Stage 4-5,Key Stage 4 (KS4)
Agatha Christie,The Big Four,3436,Key Stage 2-3,Key Stage 3 (KS3)
Agatha Christie,The Big Four,9715,Key Stage 2-3,Key Stage 3 (KS3)
Agatha Christie,The Big Four,15359,Key Stage 2-3,Key Stage 3 (KS3)
Agatha Christie,The Man in the Brown Suit,963,Key Stage 2-3,Key Stage 2 (KS2)
Agatha Christie,The Man in the Brown Suit,7982,Key Stage 2-3,Key Stage 2 (KS2)
Agatha Christie,The Man in the Brown Suit,11299,Key Stage 2-3,Key Stage 2 (KS2)
Agatha Christie,The Man in the Brown Suit,12162,Key Stage 2-3,Key Stage 2 (KS2)
Agatha Christie,The Murder on the Links,518,Key Stage 2-3,Key Stage 2 (KS2)
Agatha Christie,The Murder on the Links,1857,Key Stage 2-3,Key Stage 2 (KS2)
Agatha Christie,The Murder on the Links,2176,Key Stage 2-3,Key Stage 2 (KS2)
Agatha Christie,The Murder on the Links,3949,Key Stage 2-3,Key Stage 2 (KS2)
Agatha Christie,The Murder on the Links,4722,Key Stage 2-3,Key Stage 2 (KS2)
Agatha Christie,The Mysterious Affair at Styles,1406,Key Stage 2-3,Key Stage 2 (KS2)
Agatha Christie,The Mysterious Affair at Styles,1568,Key Stage 2-3,Key Stage 2 (KS2)
